TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2015,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2584,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2015,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2625,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2015,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7472,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2016,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,3097,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2016,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,224145,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2016,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,3150,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2016,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7237,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2017,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2374,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2017,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,178228,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2017,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7507,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2017,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2463,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2018,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2945,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2018,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7692,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2018,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,223761,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2018,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2909,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2019,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7474,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2019,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2551,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2019,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2475,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2019,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,184976,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2020,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,3033,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2020,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7620,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2020,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,226924,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2020,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2978,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2021,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,191052,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2021,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7710,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2021,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2531,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2021,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2478,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2022,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2167,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2022,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2219,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2022,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,160041,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2022,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7385,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2023,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,217991,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2023,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2895,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2023,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2853,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2023,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7641,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2024,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA HARVESTED,2867,THOUSAND ACRES
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2024,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,7748,POUNDS PER ACRE
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2024,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,222133,THOUSAND HUNDREDWEIGHT
"U.S. rice acreage, yield, and production, 1959 to present",3,RICE,ALL CLASSES,2024,CROP YEAR (AUGUST-JULY),U.S. TOTAL,AREA PLANTED,2910,THOUSAND ACRES
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,93620,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,82728,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,96466,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,61516,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,92340,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,98643,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,73557,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,101628,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,87750,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,70593,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,71721,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,77490,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,95761,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,71442,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,504,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,660,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,852,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,385,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,441,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,300,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,400,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,660,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,469,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,657,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,730,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,292,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,342,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),CALIFORNIA,PRODUCTION,518,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,28266,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,24535,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,23828,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,28067,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,28734,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,29086,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,26548,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,25838,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,26973,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,23032,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,24595,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,28100,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,24449,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),LOUISIANA,PRODUCTION,23310,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,11476,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,8436,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,8159,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,9176,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,8964,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,9996,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,6338,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,12317,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,10755,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,13929,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,9288,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,7314,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,14024,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),MISSISSIPPI,PRODUCTION,10594,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,12110,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,11265,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,12365,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,14138,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,15459,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,15008,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,15295,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,17724,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,10826,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,7930,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,11766,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,14940,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,16451,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),MISSOURI,PRODUCTION,11757,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,11004,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,10998,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,12282,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,11315,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,12456,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,9877,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,12535,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,11910,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,8556,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,10350,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,14432,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,13500,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,14640,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),TEXAS,PRODUCTION,10730,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,162665,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,172029,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,170338,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,153848,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,128461,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,166465,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,127850,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,125609,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,131518,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2011,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,116352,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2012,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,144280,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,133401,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,163434,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),U.S. TOTAL,PRODUCTION,143961,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2013,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,8933,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2021,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,7897,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2018,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,13267,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2023,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,14500,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2020,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,8881,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2022,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,6444,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2024,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,7727,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2014,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,16136,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2016,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,8788,THOUSAND HUNDREDWEIGHT
"State and U.S. rice production by class, 2011 to present",4,RICE,MEDIUM GRAIN,2011,CROP YEAR (AUGUST-JULY),ARKANSAS,PRODUCTION,16524,THOUSAND HUNDREDWEIGHT
