TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1065.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1250.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,955.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1325.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1000.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1270.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1410.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,995.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1095.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1220.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,1330.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),ARKANSAS,AREA PLANTED,955.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2014,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,4.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2019,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,10.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2024,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,8.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2022,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,7.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2016,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,9.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2021,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,7.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2023,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,11.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2020,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,12.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,7.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,6.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2018,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,11.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2017,CROP YEAR (AUGUST-JULY),CALIFORNIA,AREA PLANTED,7.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2015,CROP YEAR (AUGUST-JULY),LOUISIANA,AREA PLANTED,355.0,THOUSAND ACRES
"State and U.S. rice area planted, by class and all rice, 2013 to present",1,RICE,LONG GRAIN,2013,CROP YEAR (AUGUST-JULY),LOUISIANA,AREA PLANTED,396.0,THOUSAND ACRES
