model,rmse,mae,r2
Ridge_alpha1,37.29924539785727,14.713487376559552,0.9980384921392085
LinearRegression,37.301181646688555,14.720392167879206,0.9980382884854433
GradientBoosting,57.98749987556567,31.534975790087124,0.9952591225319559
RandomForest,58.12834691794205,27.05123786407767,0.9952360641309862
